,ID,Noun Matches,Stance
0,712,0,unrelated
1,158,0,unrelated
2,137,0,unrelated
3,1034,0,unrelated
4,1923,1,unrelated
5,154,14,agree
6,962,2,unrelated
7,2033,0,unrelated
8,1739,0,unrelated
9,882,8,unrelated
10,2327,0,unrelated
11,1468,4,disagree
12,1003,0,unrelated
13,2132,15,agree
14,47,0,unrelated
15,615,0,unrelated
16,2463,1,unrelated
17,295,1,unrelated
18,570,0,unrelated
19,608,0,unrelated
20,1500,17,disagree
21,1681,3,unrelated
22,1545,0,unrelated
23,1196,0,unrelated
24,1014,4,agree
25,633,2,unrelated
26,56,0,unrelated
27,1658,9,discuss
28,1157,0,unrelated
29,132,0,unrelated
30,1896,8,discuss
31,2344,6,unrelated
32,625,9,discuss
33,2176,0,unrelated
34,394,5,discuss
35,2161,0,discuss
36,1040,1,unrelated
37,1251,0,unrelated
38,1337,23,unrelated
39,280,18,discuss
40,534,8,discuss
41,213,0,unrelated
42,1299,0,unrelated
43,1481,0,unrelated
44,289,7,disagree
45,1592,5,agree
46,2248,7,agree
47,1255,0,unrelated
48,1120,2,unrelated
49,2045,0,unrelated
50,2296,0,unrelated
51,459,3,unrelated
52,1905,1,unrelated
53,2295,3,unrelated
54,759,14,agree
55,2406,3,discuss
56,181,0,unrelated
57,2036,0,unrelated
58,941,0,unrelated
59,965,21,agree
60,816,0,unrelated
61,2106,11,discuss
62,367,0,unrelated
63,373,0,unrelated
64,1934,2,unrelated
65,703,0,unrelated
66,167,0,unrelated
67,1175,3,unrelated
68,724,11,agree
69,2441,6,agree
70,1338,0,unrelated
71,527,0,unrelated
72,32,0,unrelated
73,26,0,unrelated
74,487,0,unrelated
75,1089,22,agree
76,1898,3,unrelated
77,205,1,unrelated
78,1435,1,unrelated
79,190,0,unrelated
80,1808,0,unrelated
81,2246,9,discuss
82,1315,21,agree
83,1362,424,discuss
84,472,0,unrelated
85,1125,0,unrelated
86,1590,0,discuss
87,2240,0,unrelated
88,702,0,unrelated
89,1165,2,unrelated
90,1720,0,unrelated
91,1358,0,unrelated
92,1832,0,unrelated
93,346,0,unrelated
94,1374,0,unrelated
95,2404,0,unrelated
96,1744,2,unrelated
97,1406,4,unrelated
98,1818,4,agree
99,1958,0,unrelated
100,775,0,unrelated
101,2115,0,unrelated
102,1849,0,unrelated
103,1966,1,discuss
104,2174,9,disagree
105,992,0,unrelated
106,2526,7,discuss
107,731,4,unrelated
108,2097,0,unrelated
109,1212,0,unrelated
110,777,0,unrelated
111,2084,0,unrelated
112,922,0,unrelated
113,1758,0,unrelated
114,900,2,unrelated
115,40,0,unrelated
116,36,2,unrelated
117,949,3,discuss
118,488,6,agree
119,2495,9,discuss
120,821,1,unrelated
121,1628,0,unrelated
122,2237,16,discuss
123,1385,2,unrelated
124,2448,17,discuss
125,345,0,unrelated
126,2087,0,unrelated
127,1661,0,unrelated
128,1899,7,unrelated
129,1048,0,unrelated
130,35,0,unrelated
131,573,4,unrelated
132,618,0,unrelated
133,321,5,unrelated
134,887,0,unrelated
135,2336,1,unrelated
136,1509,4,discuss
137,119,0,unrelated
138,2168,8,discuss
139,1547,0,unrelated
140,176,15,disagree
141,855,13,unrelated
142,689,0,unrelated
143,2342,0,unrelated
144,2477,2,discuss
145,2149,21,discuss
146,2064,3,agree
147,1363,1,agree
148,115,0,unrelated
149,313,1,unrelated
150,2046,0,unrelated
151,139,0,unrelated
152,986,1,unrelated
153,1568,0,unrelated
154,975,1,agree
155,2210,0,unrelated
156,2081,0,unrelated
157,1438,0,unrelated
158,2531,16,discuss
159,808,0,unrelated
160,125,0,unrelated
161,1401,26,discuss
162,687,4,unrelated
163,1627,0,unrelated
164,2290,0,unrelated
165,2307,0,unrelated
166,320,0,unrelated
167,1948,9,unrelated
168,271,0,unrelated
169,1169,0,unrelated
170,254,5,unrelated
171,1574,0,unrelated
172,2133,1,unrelated
173,1242,0,unrelated
174,2530,4,discuss
175,1982,0,unrelated
176,1107,0,unrelated
177,296,21,unrelated
178,1786,4,unrelated
179,1020,10,agree
180,381,0,unrelated
181,2047,4,discuss
182,2302,5,discuss
183,844,0,unrelated
184,1471,0,unrelated
185,1949,1,unrelated
186,214,6,unrelated
187,2061,0,unrelated
188,1985,2,discuss
189,1476,4,discuss
190,1718,0,unrelated
191,2293,5,discuss
192,1104,10,agree
193,1987,0,unrelated
194,1419,0,unrelated
195,1603,1,unrelated
196,2206,1,discuss
197,1301,0,unrelated
198,467,0,unrelated
199,2269,5,agree
200,1058,0,unrelated
201,1081,2,unrelated
202,1355,1,discuss
203,678,1,unrelated
204,971,0,unrelated
205,639,2,unrelated
206,1795,1,unrelated
207,874,0,unrelated
208,2492,5,agree
209,2398,0,unrelated
210,403,0,unrelated
211,2130,0,unrelated
212,720,0,unrelated
213,1602,4,discuss
214,908,0,unrelated
215,666,0,unrelated
216,734,0,unrelated
217,1093,7,discuss
218,1541,0,unrelated
219,2306,0,unrelated
220,1372,0,unrelated
221,2489,0,unrelated
222,2509,0,unrelated
223,1805,4,agree
224,972,0,unrelated
225,2127,0,unrelated
226,1778,0,unrelated
227,1586,28,discuss
228,1580,2,agree
229,2455,13,discuss
230,2453,2,unrelated
231,511,0,unrelated
232,1726,0,unrelated
233,2177,0,unrelated
234,1115,13,discuss
235,773,0,unrelated
236,2252,0,unrelated
237,524,0,unrelated
238,1864,4,discuss
239,1988,10,discuss
240,2022,0,unrelated
241,1528,0,unrelated
242,694,5,discuss
243,1648,19,discuss
244,2156,0,unrelated
245,1403,0,unrelated
246,707,0,unrelated
247,2337,8,discuss
248,2025,9,discuss
249,1854,0,unrelated
250,2054,10,discuss
251,186,0,unrelated
252,670,1,discuss
253,2288,11,discuss
254,2175,1,unrelated
255,2403,0,unrelated
256,1693,0,unrelated
257,185,0,unrelated
258,1321,16,agree
259,645,53,discuss
260,465,0,unrelated
261,1943,0,unrelated
262,1155,0,unrelated
263,698,0,unrelated
264,513,1,unrelated
265,1883,9,agree
266,1734,4,agree
267,1780,6,discuss
268,1400,0,unrelated
269,1349,0,unrelated
270,859,0,unrelated
271,1004,9,unrelated
272,1605,0,unrelated
273,1011,8,unrelated
274,568,0,unrelated
275,1148,0,unrelated
276,81,0,unrelated
277,43,0,unrelated
278,2352,0,unrelated
279,1489,15,discuss
280,776,0,unrelated
281,831,2,unrelated
282,1951,2,agree
283,1458,1,unrelated
284,1347,0,unrelated
285,1821,11,agree
286,826,0,unrelated
287,344,1,unrelated
288,2475,3,disagree
289,171,0,unrelated
290,984,0,unrelated
291,1950,0,unrelated
292,715,8,discuss
293,2287,1,discuss
294,964,0,unrelated
295,690,0,unrelated
296,1253,2,unrelated
297,1569,0,unrelated
298,2367,1,unrelated
299,298,0,unrelated
300,1737,3,discuss
301,2003,8,discuss
302,969,6,discuss
303,311,17,discuss
304,1803,0,unrelated
305,2260,6,agree
306,1844,4,discuss
307,1968,0,unrelated
308,2356,16,discuss
309,2223,15,unrelated
310,1009,0,unrelated
311,1439,0,unrelated
312,2096,3,discuss
313,1933,3,unrelated
314,2188,0,unrelated
315,2139,6,agree
316,1699,0,unrelated
317,1846,11,disagree
318,1888,0,unrelated
319,1013,12,discuss
320,2235,0,unrelated
321,2423,30,discuss
322,2388,9,discuss
323,2078,0,unrelated
324,401,0,unrelated
325,2407,0,unrelated
326,2304,4,discuss
327,757,30,agree
328,1084,6,discuss
329,1702,18,discuss
330,108,22,agree
331,2154,5,discuss
332,121,0,unrelated
333,1261,0,unrelated
334,913,0,unrelated
335,2056,0,unrelated
336,366,1,unrelated
337,1631,0,unrelated
338,2000,2,discuss
339,1015,0,unrelated
340,2313,0,unrelated
341,646,0,unrelated
342,1776,0,unrelated
343,847,0,unrelated
344,1697,0,unrelated
345,2268,0,unrelated
346,265,10,discuss
347,730,0,unrelated
348,1314,2,discuss
349,1234,0,unrelated
350,2377,2,unrelated
351,2374,1,agree
352,2141,3,unrelated
353,2138,18,agree
354,2421,0,unrelated
355,2412,0,unrelated
356,419,0,unrelated
357,2341,10,agree
358,1540,1,unrelated
359,723,0,unrelated
360,993,14,agree
361,1572,2,unrelated
362,1597,2,agree
363,2192,0,unrelated
364,2520,0,unrelated
365,8,0,unrelated
366,173,11,agree
367,1221,0,unrelated
368,2220,2,discuss
369,2273,20,discuss
370,788,0,unrelated
371,2147,3,discuss
372,1825,10,discuss
373,2254,0,discuss
374,2299,0,unrelated
375,61,0,unrelated
376,2116,0,unrelated
377,1223,0,unrelated
378,693,0,unrelated
379,1423,6,discuss
380,1029,10,unrelated
381,416,21,discuss
382,879,0,unrelated
383,539,1,unrelated
384,1477,0,unrelated
385,1266,0,unrelated
